,sqft_living,sqft_lot,sqft_above,sqft_basement,sqft_living15,sqft_lot15,bedrooms,bathrooms,floors,view_encoded,condition_encoded,grade_encoded,tempo_imovel,tempo_renovacao,zipcode_encoded
17384,0.0860377358490566,0.0006845004267526998,0.125,0.0,0.17742213044226468,0.0011475517173645596,2,1,3,0.0,0.0,0.0,25,0,1.0
722,0.3305660377358491,0.031084799910833218,0.48026315789473684,0.0,0.6592669075890553,0.04643506568843339,4,3,2,0.0,2.0,7.0,36,0,10.0
2680,0.08679245283018869,0.0019262932363483052,0.09978070175438596,0.04979253112033195,0.17914300464636035,0.004191607824487766,2,0,1,0.0,0.0,0.0,110,0,12.0
18754,0.06339622641509435,0.00128419549089887,0.09210526315789473,0.0,0.22044398554465672,0.0029280373649271897,2,1,1,0.0,2.0,2.0,97,0,10.0
14554,0.21811320754716984,0.005502050775393602,0.3168859649122807,0.0,0.35123042505592844,0.016782513103800016,4,2,2,3.0,0.0,4.0,22,0,48.0
16227,0.10264150943396227,0.0017663745525759932,0.14912280701754388,0.0,0.22044398554465672,0.003210617667701646,3,2,2,0.0,0.0,0.0,21,0,5.0
6631,0.1079245283018868,0.016646081174481582,0.1567982456140351,0.0,0.2755119600757185,0.04728740139842789,3,2,1,0.0,2.0,0.0,66,0,23.0
19813,0.1696603773584906,0.0024714705673902783,0.24649122807017543,0.0,0.3736017897091723,0.004765958033378936,3,2,2,0.0,0.0,2.0,11,0,17.0
3367,0.1637735849056604,0.0029803027430294533,0.23793859649122806,0.0,0.35467217346411983,0.005138136968740416,4,2,2,0.0,0.0,4.0,21,0,23.0
21372,0.31471698113207547,0.0014871226085644935,0.32785087719298245,0.24481327800829875,0.35983479607640684,0.004112347495660784,5,3,3,3.0,0.0,6.0,9,0,10.0
3268,0.15622641509433965,0.006530012920702745,0.22697368421052633,0.0,0.32541731199449325,0.012980314720940463,4,1,1,0.0,2.0,4.0,50,0,45.0
20961,0.1079245283018868,0.0018542086781327554,0.1567982456140351,0.0,0.22732748236103945,0.0033875175320401264,3,2,2,0.0,0.0,0.0,13,0,5.0
21456,0.055094339622641514,0.00032044312013467094,0.0800438596491228,0.0,0.16365513680949922,0.0008546331108300624,2,1,3,0.0,0.0,2.0,16,0,14.0
3880,0.07924528301886792,0.006798967070683452,0.11513157894736843,0.0,0.2789537084839099,0.014958376840361656,3,1,1,0.0,3.0,0.0,74,0,8.0
17472,0.21811320754716984,0.005806138575597014,0.3168859649122807,0.0,0.3908105317501291,0.011146988854159845,4,2,2,0.0,2.0,4.0,38,0,16.0
7618,0.07018867924528302,0.0010588555274015214,0.03508771929824561,0.12655601659751037,0.14472552056444676,0.0011762692278091181,2,1,1,0.0,2.0,1.0,115,0,33.0
1091,0.09358490566037736,0.001536188568358271,0.13596491228070173,0.0,0.19979349509550853,0.002771814108108791,3,2,2,0.0,0.0,0.0,21,0,5.0
1560,0.1388679245283019,0.0012720804390979373,0.14912280701754388,0.0995850622406639,0.1602133884013079,0.002375512463973883,4,2,1,0.0,1.0,0.0,105,0,14.0
8945,0.04830188679245283,0.007392604608929156,0.07017543859649122,0.0,0.14472552056444676,0.024326028747376657,2,1,1,0.0,2.0,1.0,112,0,10.0
8439,0.08150943396226415,0.004046427301511534,0.09210526315789473,0.04979253112033195,0.15505076578902083,0.007532028639398815,3,2,1,0.0,0.0,0.0,98,69,1.0
13058,0.10415094339622642,0.0043735337001367175,0.09210526315789473,0.11203319502074688,0.14128377215625537,0.00814313726165902,3,2,1,0.0,0.0,0.0,50,0,13.0
12080,0.14566037735849058,0.00480361803906983,0.10635964912280703,0.1991701244813278,0.20323524350369992,0.008958714558284484,4,2,1,0.0,2.0,0.0,41,0,31.0
7417,0.12150943396226414,0.0051834249130290715,0.17653508771929827,0.0,0.2583032180347617,0.01403367300404687,4,3,2,0.0,0.0,0.0,70,9,48.0
3101,0.06113207547169812,0.005410582134296561,0.08881578947368421,0.0,0.16365513680949922,0.010109712376902391,3,1,1,0.0,0.0,1.0,82,0,8.0
18769,0.1569811320754717,0.00889244802188463,0.15021929824561403,0.14730290456431536,0.337463431423163,0.01519500912642482,4,2,1,0.0,0.0,2.0,49,0,20.0
7332,0.06113207547169812,0.002793730945295089,0.06030701754385964,0.05394190871369294,0.1516090173808295,0.005147326572082674,3,1,1,0.0,0.0,1.0,76,0,14.0
19186,0.09358490566037736,0.004419570896980262,0.13596491228070173,0.0,0.18602650146274313,0.008230438493410479,4,2,1,0.0,0.0,0.0,69,0,15.0
11875,0.1018867924528302,0.004042792785971254,0.13048245614035087,0.03319502074688797,0.17914300464636035,0.010055723457266621,4,1,1,0.0,2.0,0.0,109,0,10.0
14100,0.13735849056603774,0.004955056186581489,0.16118421052631582,0.07261410788381742,0.29616245052486667,0.010164849996955943,2,1,1,2.0,2.0,4.0,64,0,8.0
10641,0.10566037735849056,0.0033255817193560363,0.10307017543859649,0.0954356846473029,0.22216485974875239,0.005475854891568424,3,1,1,0.0,0.0,0.0,78,0,11.0
8163,0.13433962264150945,0.001579802754841629,0.16118421052631582,0.06431535269709543,0.4028566511787989,0.0033507591186710916,2,3,2,1.0,0.0,4.0,36,0,36.0
3254,0.13056603773584907,0.0034406747114648973,0.07894736842105263,0.2095435684647303,0.17914300464636035,0.0040284923651626725,4,1,1,0.0,2.0,1.0,76,0,15.0
17936,0.17132075471698116,0.02607159147560725,0.2489035087719298,0.0,0.29788332472896234,0.010911505268514466,4,2,2,0.0,0.0,2.0,35,0,9.0
19981,0.22943396226415094,0.00513678196359548,0.28289473684210525,0.0954356846473029,0.37016004130098096,0.006545294980523784,4,3,2,0.0,0.0,4.0,20,0,47.0
2474,0.209811320754717,0.007995934188615607,0.3048245614035088,0.0,0.4493202546893823,0.01034519596254777,4,2,2,0.0,0.0,4.0,46,0,10.0
1710,0.11547169811320755,0.00955877587093593,0.10197368421052631,0.12448132780082988,0.25314059542247463,0.01797601283787587,3,2,1,0.0,2.0,0.0,69,0,26.0
